Subject_category,Subject,RelationType,RelName,Obj_category,Object
Person,Ali,Write,write,Paper,LLM
Person,Ali,Write,write,Article,KG and Ontology
Person,Ali,Work_in,work,Company,OneForce
Company,OneForce,use,uses,Spacy,spacy
Company,OneForce,Utilize,utilize,MongoDB,mongoDB
Company,OneForce,use,use,NER,NER
Company,Google,Write,Write,Essay,Gemini vs GPT
Company,Google,print,printed,Article,Gemini and GPT
Company,SM 55,Provide,Provide,Marketing,SM marketing
Company,SM 55,Utilize,utilize,Channels,SM channels
Company,VI-media2020,Utilize,utilize,Channels,SM channels
Company,Cetic,improve,improve,SM,real social media
Company,Cetic,use,uses,ML,ML algorithms
Person,Mark,create,create,App,apps
Person,Mark,use,uses,ML,ML algorithms
Company,SM100,have,have,passion,natural passion
Company,SM100,improve,improve,passion,social media