Subject_category,Subject,RelationType,RelName,Obj_category,Object,,,,
Person,Ali,Write,write,Paper,LLM,,,,"working in Oneforce, Ali wrote articles about LLM and KG"
Person,Ali,Write,write,Article,KG and Ontology,,,,
Person,Ali,Work_in,work,Company,OneForce,,,,
Company,OneForce,use,uses,Spacy,spacy,,,,OneForce use spacy and utilize mongoDB
Company,OneForce,Utilize,utilize,MongoDB,mongoDB,,,,OneForce use NER
Company,OneForce,use,use,NER,NER,,,,
Company,Google,Write,Write,Essay,Gemini vs GPT,,,,Google wrote articles about 
Company,Google,print,printed,Article,Gemini and GPT,,,,
Company,SM 55,Provide,Provide,Marketing,SM marketing,,,,
Company,SM 55,Utilize,utilize,Channels,SM channels,,,,
Company,VI-media2020,Utilize,utilize,Channels,SM channels,,,,
Company,Cetic,improve,improve,SM,real social media,,,,
Company,Cetic,use,uses,ML,ML algorithms,,,,
Person,Mark,create,create,App,apps,,,,
Person,Mark,use,uses,ML,ML algorithms,,,,
Company,SM100,have,have,passion,natural passion,,,,we have a natural passoin to improve business through social media
Company,SM100,improve,improve,passion,social media,,,,